ID,Name,Danceability,Energy,Key,Loudness,Mode,Speechness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,time_signature,Genre,Artists,Popularity
2V8n8otTf5i4fHImwN8Ph5,SlowMeDown,0.628,0.452,5.0,-12.743,1.0,0.0522,0.488,0.245,0.115,0.141,104.015,219231.0,4.0,deepchill-out,Mauve,8
2enwNoarZILRAAQbWEWAZr,WeWereYoung-SaschaKloeberMix(RadioMaster),0.843,0.7959999999999999,1.0,-3.9789999999999996,0.0,0.0448,0.0802,0.0202,0.0934,0.6940000000000001,120.045,209207.0,4.0,deepchill-out,SRTW,46
4GPCl8oueqhyxyHfJJMp50,Metronome,0.736,0.76,9.0,-6.0360000000000005,0.0,0.0537,0.0423,0.114,0.0907,0.272,112.94,191416.0,4.0,deepchill-out,LO,42
2qsNMuAmZu8KuohVFXRCUb,SensationalLove,0.445,0.794,11.0,-7.3,0.0,0.23,0.0147,0.03,0.134,0.15,125.07,203520.0,4.0,deepchill-out,Morgin Madison,43
6KdfECQQppZA9zHje2gF5k,LoveGoneStay,0.652,0.522,7.0,-9.97,0.0,0.0352,0.24100000000000002,0.87,0.152,0.258,90.013,168333.0,4.0,deepchill-out,Pool Blue,4
3DNW7QNv60khWbTMLA0z83,GoodTimes,0.727,0.6890000000000001,2.0,-5.537999999999999,0.0,0.12,0.011000000000000001,0.0,0.46299999999999997,0.327,99.991,179700.0,4.0,deepchill-out,Roman Müller,0
63SevszngYpZOwf63o61K4,Nevermind,0.5920000000000001,0.691,3.0,-8.354,1.0,0.196,0.156,9.78e-06,0.418,0.0796,99.976,156600.0,4.0,deepchill-out,Dennis Lloyd,81
18qH5bBi8nOCN5e1caotvL,SwearLikeaSailor,0.823,0.617,6.0,-5.065,0.0,0.0285,0.0237,0.000197,0.0576,0.778,120.021,234602.0,4.0,deepchill-out,Tep No,56
2qtZObP6pDnk4ZtQvgliyJ,Thoughts,0.8220000000000001,0.358,11.0,-15.834000000000001,0.0,0.113,0.384,0.251,0.1,0.657,164.014,193171.0,4.0,deepchill-out,Holz,34
66ya6KNP8i9LrUkeMfdZXr,Tonight,0.7040000000000001,0.615,1.0,-6.029,0.0,0.0823,0.133,0.0,0.0807,0.524,160.022,186000.0,4.0,deepchill-out,Arpad,0
6t0qnREJkdyH5Ojehn0kZg,SomebodyLikeYou,0.7609999999999999,0.675,8.0,-7.3420000000000005,1.0,0.0431,0.188,0.000256,0.0945,0.324,94.994,193585.0,4.0,deepchill-out,James Carter,44
2LB1oieWeMcEiUrZDPgPDt,Drift,0.652,0.754,10.0,-7.2010000000000005,1.0,0.0724,0.00845,0.0063,0.11800000000000001,0.21899999999999997,119.965,185000.0,4.0,deepchill-out,Morgin Madison,41
3y3brCCecHC3Db18aIOnny,\CarryOn(fromtheOriginalMotionPicturePOKÉMONDetectivePikachu)\,0.591,0.705,9.0,-6.519,0.0,0.079,0.381,0.00011599999999999999,0.131,0.27,121.799,215316.0,4.0,deepchill-out,Kygo,82
6nDKrPlXdpomGBgAlO7UdP,SOS,0.802,0.645,5.0,-6.181,0.0,0.0715,0.272,0.0,0.11900000000000001,0.376,100.001,157202.0,4.0,deepchill-out,Avicii,39
2eSnW4d3A4SyEVhVPmBffa,Banana,0.752,0.6809999999999999,11.0,-6.684,0.0,0.299,0.0195,0.0,0.0353,0.648,73.233,195619.0,4.0,deepchill-out,Anitta,66
2Fcx71e415baVRjRaAKsM6,CaféBrasil,0.754,0.7909999999999999,10.0,-4.14,0.0,0.0411,0.00952,0.115,0.311,0.72,122.029,182090.0,4.0,deepchill-out,Croatia Squad,53
